time,oceans,climate,toxics,justice and democracy,drilling,transportation,energy,public lands,lands,appropriations,other,forests,wildlife,environmental justice,judiciary,air,public right to know,water
1971,0.06681168427594779,0.0,0.20074580484773152,0.0,0.0,0.26646985705407084,0.13346799254195152,0.0,0.13362336855189558,0.0,0.1990366687383468,0.13362336855189558,0.2670913610938471,0.0,0.0,0.0,0.20074580484773152,0.13346799254195152
1972,0.0,0.0,0.0771698449474247,0.0,0.0,0.15327036178934236,0.07663518089467118,0.0,0.07663518089467118,0.0,0.3083229370878631,0.07663518089467118,0.0,0.0,0.0,0.0,0.0771698449474247,0.4615932988772055
1973,0.0,0.0,0.10538470888537742,0.0,0.0,0.21052631578947367,0.4733195575543941,0.0,0.10538470888537742,0.0,0.3157894736842105,0.10538470888537742,0.05263157894736842,0.0,0.0,0.1050200559134557,0.10538470888537742,0.0
1974,0.058855438025494984,0.0,0.0,0.0,0.0,0.2940059669107676,0.4118524545701112,0.0,0.1762950908597776,0.0,0.17656631407648496,0.1762950908597776,0.05871982641714131,0.0,0.0,0.11757526444263629,0.0,0.17643070246813128
1975,0.04765564950038432,0.0,0.04765564950038432,0.0,0.0,0.14318655978917316,0.5712089601405512,0.0,0.09509168771274844,0.0,0.0,0.09509168771274844,0.14285714285714285,0.0,0.0,0.04765564950038432,0.04765564950038432,0.19029318106950696
1976,0.0,0.0,0.043504653986240385,0.0,0.0868069607446378,0.13051396195872117,0.17401861594496154,0.0,0.3913395386483205,0.0,0.08700930797248077,0.3913395386483205,0.043504653986240385,0.0,0.0,0.1301092675030352,0.043504653986240385,0.21732092270335895
1977,0.0500057743388382,0.0,0.0,0.0,0.0,0.2497978981406629,0.40027716826423376,0.0,0.24956692458713478,0.0,0.0500057743388382,0.24956692458713478,0.0500057743388382,0.0,0.0,0.1500173230165146,0.0,0.2497978981406629
1978,0.03326915671929149,0.0,0.0666923373122834,0.0,0.09980747015787447,0.0666923373122834,0.29973045822102423,0.0,0.2000770119368502,0.0,0.2668463611859838,0.2000770119368502,0.1666538313438583,0.0,0.0,0.06653831343858298,0.0666923373122834,0.2666153253754332
1979,0.0,0.0,0.17845950849414483,0.0,0.0,0.10720765297707406,0.35724888668975757,0.0,0.10737258782780802,0.0,0.2499587662873165,0.10737258782780802,0.10737258782780802,0.0,0.0,0.0,0.17845950849414483,0.1425861784595085
1980,0.0,0.0,0.17406624383368569,0.0,0.0,0.13057485150508405,0.30454042081949056,0.0,0.3041377227423739,0.0,0.0435920668478808,0.3041377227423739,0.13057485150508405,0.0,0.0,0.0435920668478808,0.17406624383368569,0.2172556126044498
1981,0.0,0.0,0.2145340175467638,0.0,0.0,0.14285714285714285,0.2145340175467638,0.0,0.3573911604039066,0.0,0.3567290183744413,0.3573911604039066,0.2862108922363847,0.0,0.0,0.07134580367488827,0.2145340175467638,0.2862108922363847
1982,0.04162651763345539,0.0,0.33349392946617845,0.0,0.04172287531316246,0.08334939294661785,0.20851801888610522,0.0,0.375313162459048,0.0,0.12478319522065909,0.375313162459048,0.2918674118327231,0.0,0.0,0.04162651763345539,0.33349392946617845,0.16650607053382155
1983,0.0,0.0,0.07167687468962092,0.0,0.0,0.0,0.2146995530541301,0.0,0.4997516967389505,0.0,0.21387187551729847,0.4997516967389505,0.42807482204932956,0.0,0.0,0.0,0.07167687468962092,0.3572256248965403
1984,0.08327710843373494,0.0,0.2914698795180723,0.0,0.0,0.041734939759036145,0.2914698795180723,0.0,0.3752289156626506,0.0,0.12510843373493977,0.3752289156626506,0.3752289156626506,0.0,0.0,0.0,0.2914698795180723,0.20848192771084337
1985,0.0,0.0,0.3335255670895809,0.0,0.0,0.08342945021145713,0.08323721645520954,0.0,0.3335255670895809,0.0,0.16647443291041908,0.3335255670895809,0.3335255670895809,0.0,0.0,0.08342945021145713,0.3335255670895809,0.41657054978854285
1986,0.0,0.0,0.2853359814630917,0.0,0.0,0.0,0.14266799073154585,0.0,0.4286660046342271,0.0,0.14266799073154585,0.4286660046342271,0.14233697451175106,0.0,0.0,0.14333002317113538,0.2853359814630917,0.2853359814630917
1987,0.08341360046233866,0.0,0.250240801387016,0.0,0.0,0.08341360046233866,0.33365440184935463,0.0,0.08322095935272587,0.0,0.0,0.08322095935272587,0.33326911963012906,0.0,0.0,0.08322095935272587,0.250240801387016,0.16644191870545175
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5014376078205866,0.0,0.0,0.5014376078205866,0.5014376078205866,0.0,0.0,0.2507188039102933,0.0,0.24784358826912017
1989,0.0,0.0,0.0,0.0,0.40060171256653554,0.0,0.5003471418653089,0.0,0.29969914371673223,0.0,0.10020828511918538,0.29969914371673223,0.29969914371673223,0.0,0.0,0.0,0.0,0.19972228650775284
1990,0.0,0.0,0.3748915244431588,0.0,0.0,0.12496384148105294,0.12496384148105294,0.0,0.12496384148105294,0.0,0.12525310963262945,0.12496384148105294,0.12496384148105294,0.0,0.0,0.12496384148105294,0.3748915244431588,0.49985536592421176
1991,0.0,0.08293246103521262,0.08389455455070233,0.0,0.0,0.0,0.0,0.0,0.6676928997498557,0.0,0.16548008466422937,0.6676928997498557,0.41774100442563017,0.0,0.0,0.0,0.08389455455070233,0.08274004233211468
